Causas (lista reducida);Sexo;Edad;Total
001-102 I-XXII.Todas las causas;Ambos sexos;Todas las edades;493.776
001-102 I-XXII.Todas las causas;Ambos sexos;Menores de 1 año;890
001-102 I-XXII.Todas las causas;Ambos sexos;De 1 a 4 años;188
001-102 I-XXII.Todas las causas;Ambos sexos;De 5 a 9 años;139
001-102 I-XXII.Todas las causas;Ambos sexos;De 10 a 14 años;189
001-102 I-XXII.Todas las causas;Ambos sexos;De 15 a 19 años;379
001-102 I-XXII.Todas las causas;Ambos sexos;De 20 a 24 años;609
001-102 I-XXII.Todas las causas;Ambos sexos;De 25 a 29 años;823
001-102 I-XXII.Todas las causas;Ambos sexos;De 30 a 34 años;1.224
001-102 I-XXII.Todas las causas;Ambos sexos;De 35 a 39 años;1.935
001-102 I-XXII.Todas las causas;Ambos sexos;De 40 a 44 años;3.556
001-102 I-XXII.Todas las causas;Ambos sexos;De 45 a 49 años;6.045
001-102 I-XXII.Todas las causas;Ambos sexos;De 50 a 54 años;10.389
001-102 I-XXII.Todas las causas;Ambos sexos;De 55 a 59 años;15.847
001-102 I-XXII.Todas las causas;Ambos sexos;De 60 a 64 años;21.967
001-102 I-XXII.Todas las causas;Ambos sexos;De 65 a 69 años;27.536
001-102 I-XXII.Todas las causas;Ambos sexos;De 70 a 74 años;38.816
001-102 I-XXII.Todas las causas;Ambos sexos;De 75 a 79 años;52.375
001-102 I-XXII.Todas las causas;Ambos sexos;De 80 a 84 años;74.045
001-102 I-XXII.Todas las causas;Ambos sexos;De 85 a 89 años;107.394
001-102 I-XXII.Todas las causas;Ambos sexos;De 90 a 94 años;87.184
001-102 I-XXII.Todas las causas;Ambos sexos;De 95 años y más;42.246
001-102 I-XXII.Todas las causas;Hombres;Todas las edades;249.664
001-102 I-XXII.Todas las causas;Hombres;Menores de 1 año;496
001-102 I-XXII.Todas las causas;Hombres;De 1 a 4 años;117
001-102 I-XXII.Todas las causas;Hombres;De 5 a 9 años;67
001-102 I-XXII.Todas las causas;Hombres;De 10 a 14 años;109
001-102 I-XXII.Todas las causas;Hombres;De 15 a 19 años;242
001-102 I-XXII.Todas las causas;Hombres;De 20 a 24 años;458
001-102 I-XXII.Todas las causas;Hombres;De 25 a 29 años;580
001-102 I-XXII.Todas las causas;Hombres;De 30 a 34 años;848
001-102 I-XXII.Todas las causas;Hombres;De 35 a 39 años;1.250
001-102 I-XXII.Todas las causas;Hombres;De 40 a 44 años;2.273
001-102 I-XXII.Todas las causas;Hombres;De 45 a 49 años;3.912
001-102 I-XXII.Todas las causas;Hombres;De 50 a 54 años;6.909
001-102 I-XXII.Todas las causas;Hombres;De 55 a 59 años;10.547
001-102 I-XXII.Todas las causas;Hombres;De 60 a 64 años;14.860
001-102 I-XXII.Todas las causas;Hombres;De 65 a 69 años;18.720
001-102 I-XXII.Todas las causas;Hombres;De 70 a 74 años;25.542
001-102 I-XXII.Todas las causas;Hombres;De 75 a 79 años;32.183
001-102 I-XXII.Todas las causas;Hombres;De 80 a 84 años;39.211
001-102 I-XXII.Todas las causas;Hombres;De 85 a 89 años;48.556
001-102 I-XXII.Todas las causas;Hombres;De 90 a 94 años;31.606
001-102 I-XXII.Todas las causas;Hombres;De 95 años y más;11.178
001-102 I-XXII.Todas las causas;Mujeres;Todas las edades;244.112
001-102 I-XXII.Todas las causas;Mujeres;Menores de 1 año;394
001-102 I-XXII.Todas las causas;Mujeres;De 1 a 4 años;71
001-102 I-XXII.Todas las causas;Mujeres;De 5 a 9 años;72
001-102 I-XXII.Todas las causas;Mujeres;De 10 a 14 años;80
001-102 I-XXII.Todas las causas;Mujeres;De 15 a 19 años;137
001-102 I-XXII.Todas las causas;Mujeres;De 20 a 24 años;151
001-102 I-XXII.Todas las causas;Mujeres;De 25 a 29 años;243
001-102 I-XXII.Todas las causas;Mujeres;De 30 a 34 años;376
001-102 I-XXII.Todas las causas;Mujeres;De 35 a 39 años;685
001-102 I-XXII.Todas las causas;Mujeres;De 40 a 44 años;1.283
001-102 I-XXII.Todas las causas;Mujeres;De 45 a 49 años;2.133
001-102 I-XXII.Todas las causas;Mujeres;De 50 a 54 años;3.480
001-102 I-XXII.Todas las causas;Mujeres;De 55 a 59 años;5.300
